行业,url,标题,内容
燃气,https://finance.eastmoney.com/a/202412313284064382.html,长春燃气(600333)龙虎榜数据(12-31),"沪深交易所2024年12月31日公布的交易公开信息显示，长春燃气因成为当日涨幅偏离值达7%的证券上榜。长春燃气当日收报5.57元，涨跌幅10.08%，偏离值11.71%，换手率4.12%，成交额1.37亿元。

上榜原因：当日涨幅偏离值达7%的证券

买入金额最大的前5名营业部
营业部名称	买入额(万)	卖出额(万)	净额(万)
1	中泰证券
常州惠国路营业部	892.54	-	-
2	国泰君安证券
总部	666.21	-	-
3	开源证券
云南分公司	471	-	-
4	开源证券
西安曲江新区分公司	468.99	-	-
5	长江证券
上海东明路营业部	445.17	-	-
合计	-	2943.91	-	-
卖出金额最大的前5名营业部
1	国泰君安证券
总部	-	266.47	-
2	东方财富证券
拉萨团结路第一营业部	-	139.12	-
3	中信证券
吉林省分公司	-	132.01	-
4	东北证券
长春东盛大街营业部	-	115.71	-
5	德邦证券
深圳分公司	-	111.4	-
合计	-	-	764.71	"
燃气,https://finance.eastmoney.com/a/202412313284145134.html,华润燃气续签框架协议 预计最高年度金额上限不超23亿元,"财中社12月31日电华润燃气（01193）发布公告，宣布重续现有框架协议及长治框架协议，新的协议自2025年1月1日起至2027年12月31日止，为期三年。此次重续是由于现有框架协议及长治框架协议将于2024年12月31日到期，董事会预期继续与山西天然气进行相关交易。

　　根据公告，山西天然气持有洪洞华润燃气10%的注册资本权益，构成公司的关联交易。新框架协议下，阳泉华润燃气、大同华润燃气、洪洞华润燃气等公司将向山西天然气采购天然气，最高年度上限金额预计不超过23亿元。董事会认为，持续关联交易对集团的经营是必要的，且符合整体利益。"
燃气,https://finance.eastmoney.com/a/202412313284128214.html,洪通燃气累计回购304万股 总金额2303万元,"财中社12月31日电洪通燃气（605169）截至2024年12月31日已累计回购304万股，占总股本的1.08%，回购资金总额为2303万元，回购价格区间在6.46元/股至10.81元/股。

　　2024年前三季度，洪通燃气实现收入19.60亿元，归母净利润1.65亿元。"
燃气,https://finance.eastmoney.com/a/202412313283636113.html,油气开采服务板块开盘拉升，首华燃气涨超6%,每经AI快讯，油气开采服务板块开盘拉升，首华燃气涨超6%，科力股份、仁智股份、潜能恒信、贝肯能源等均涨超2%。
燃气,https://finance.eastmoney.com/a/202412313284147424.html,长春燃气涨停，上榜营业部合计净买入2179.20万元,"证券时报网讯，长春燃气(600333)今日涨停，全天换手率4.12%，成交额1.37亿元，振幅5.69%。龙虎榜数据显示，营业部席位合计净买入2179.20万元。

　　上交所公开信息显示，当日该股因日涨幅偏离值达11.71%上榜，营业部席位合计净买入2179.20万元。"
燃气,https://finance.eastmoney.com/a/202412313284095790.html,2024年A股收官日指数收跌，燃气、培育钻石股逆市走强,"2024年最后一个交易日三大指数集体收跌。截至收盘，沪指跌1.63%，年内累涨12.67%;深成指跌2.4%，年内累涨9.34%;创业板指跌2.93%，年内累涨13.23%;北证50指数跌0.8%，年内累跌4.14%。全市场成交额13586亿元，较上日放量701亿元。全市场超4600只个股下跌。

　　板块题材上，燃气、白酒、煤炭、旅游酒店、食品加工板块涨幅居前;铜缆高速连接、芯片、证券、CPO、AI应用概念股跌幅居前。

图片
　　盘面上，热门TMT题材今日集体调整，铜缆高速连接概念股跌幅居前，鑫科材料(600255)、得润电子(002055)、露笑科技(002617)触及跌停，显盈科技(301067)、创益通(300991)跌超10%;半导体芯片板块亦表现落后，盈方微(000670)触及跌停，灿芯股份、成都华微、恒烁股份、大港股份(002077)集体下跌。

　　红利股一度走强，中国移动(600941)、农业银行（601288）等盘中创历史新高。

　　燃气、培育钻石概念股今日逆市走强，长春燃气(600333)、贵州燃气(600903)、恒盛能源(605580)涨停，惠丰钻石、力量钻石(301071)、黄河旋风(600172)涨幅居前。消息面上，当地时间30日，纽约商品交易所NYMEX 2月交割的天然气期货跳空高开，盘中一度暴涨超20%，创近三年最大涨幅。新一轮极寒天气将袭击美国东海岸，加剧了供需压力。与此同时，随着乌克兰中止向欧洲输送管道俄罗斯天然气，美国液化天然气正在填补该地区供应空白。此外，黄河旋风、华晶(上海)珠宝有限公司近日宣布旗下培育钻石涨价，黄河旋风旗下产品综合涨价幅度在10%左右，华晶(上海)珠宝有限公司涨幅在10%。

　　中信证券表示，近期国家加强对人造金刚石相关产品和技术的出口限制，凸显其战略属性，从基本面角度看，培育钻石的市场在逐步扩大且应用场景不断拓展，其中在芯片衬底、热沉、电子封装、光学窗口等领域的应用潜力有望带给行业新的活力，看好远期需求。

　　招商证券研报指出，2025年随着新一轮宽货币+宽财政“组合拳”的推进，在低基数和盈利周期的作用下，预计A股盈利震荡修复，2024年年底及2025年A股盈利有望边际改善。盈利增速相对较高的板块预计主要集中在消费服务、信息技术、中游制造等领域。行业层面，关注科技创新、扩大内需、供给侧改革三条线索，重点关注电子、传媒、国防军工、家电、机械设备等行业。

　　消息面

　　央行将开展第二次证券、基金、保险公司互换便利操作

　　为支持资本市场健康稳定发展，中国人民银行将于近期开展第二次证券、基金、保险公司互换便利操作，互换期限1年，可视情展期，面向符合条件的证券、基金、保险公司开展操作，互换费率由参与机构招投标确定。即日起接受机构申报。

　　中国证监会扩大互换便利参与机构范围

　　中国证监会商中国人民银行在首批20家参与机构基础上，根据分类评价、合规风控等条件增选了20家参与机构，形成40家备选机构池。每批次操作时，根据意向参与规模筛选出20家左右的机构参与人民银行招标操作。目前，第二次互换便利操作的各项准备工作就绪，今天开始操作。中国证监会要求相关机构充分发挥专业投资能力，加强合规风控管理，有效发挥稳市货币政策工具功能，加强和改善市场预期管理，促进资本市场稳定健康发展。

　　央行开展1577亿元7天期逆回购操作

　　央行公告，为保持银行体系流动性充裕，2024年12月31日，人民银行以固定利率、数量招标方式开展了1577亿元逆回购操作，期限为7天，操作利率为1.50%。

　　12月制造业PMI为50.1%，比上月下降

　　12月份，制造业采购经理指数(PMI)为50.1%，比上月下降0.2个百分点，制造业继续保持扩张;12月份，非制造业商务活动指数为52.2%，比上月上升2.2个百分点，非制造业景气水平明显回升。

　　国家数据局：将打造一批数据驱动的新应用、新模式

　　12月31日，国家数据局在京举办关于推动数据产业高质量发展和促进企业数据资源开发利用专题新闻发布会。国家数据局党组成员、副局长陈荣辉表示，当前，我国数据要素“供给-流通-应用”的市场化循环体系仍不畅通。可信数据空间是基于共识规则、联接多方主体，实现数据资源共享共用、数据要素价值共创的应用生态，是从数据要素角度探索数据规模化流通利用的中国方案，将助力构建繁荣活跃的全国一体化数据市场。陈荣辉表示，将打造一批数据驱动的新应用、新模式。数据的价值体现在“开发利用”;将促进更大规模数据供给和更广范围的数据流通。数据要素合规高效安全流通，是数据资源开发利用的重要前提。最后，将支撑数据产业生态繁荣发展。

　　《北京市自动驾驶汽车条例》将于明年4月施行

　　北京市十六届人大常委会第十四次会议表决通过《北京市自动驾驶汽车条例》，条例将自2025年4月1日起施行。《条例》共7章48条，明确自动驾驶工作的总体要求;明确鼓励支持自动驾驶汽车技术创新和产业发展的政策措施;从鼓励多种技术路线融合发展的角度对基础设施建设作出规定;对自动驾驶创新应用活动进行了全环节规范，实行包容审慎监管;明确了自动驾驶汽车安全保障的相关要求，以更好平衡促进产业发展与保障首都安全的关系。

　　上海推动建设生育友好型社会

　　上海市人民政府办公厅印发《上海市加快完善生育支持政策体系推动建设生育友好型社会的若干措施》的通知。其中提到，强化生育保险保障。加强生育保险对参保女职工生育医疗费用、生育生活津贴等保障作用，落实相关待遇保障。落实参加我市居民基本医疗保险的未就业人员生育医疗费用待遇保障。研究将参加职工基本医疗保险的灵活就业人员纳入生育保险。加大经济支持力度。结合我市经济社会发展和财政收支情况，建立生育补贴制度。建立合理的成本共担机制，对符合一定条件的用人单位，其女职工产假及生育假期间单位缴纳的社会保险费，可按照50%比例申请补贴。落实3岁以下婴幼儿照护、子女教育个人所得税专项附加扣除政策。

　　韩国法院批准尹锡悦逮捕令

　　韩国法院当天以涉嫌内乱为由，批准了对尹锡悦的逮捕令。据悉，这是韩国宪政史上首次针对现任总统发布逮捕令。30日，由韩国高级公职人员犯罪调查处、警方和国防部调查本部组成的“共同调查本部”向首尔西部地方法院提请拘留总统尹锡悦。"
燃气,https://finance.eastmoney.com/a/202412293281940282.html,中国燃气获OGMP会员黄金标准,"中证网讯（记者王辉）近日，中国燃气成功通过Oiland Gas Methane Partnership（简称OGMP）的评估，荣获OGMP会员黄金标准，并与壳牌、BP、埃克森美孚等全球六十多家知名油气企业同列甲烷排放管理水平世界领先阵营，这是中国燃气继2023年之后第二次获得这一减排标准。

　　OGMP成立于2014年，隶属于联合国环境规划署，中文名称是“石油天然气甲烷伙伴关系”。OGMP作为国际环境保护组织和气候及清洁空气联盟，一直专注于推动全球甲烷减排事业，是全球多方利益相关者在甲烷管控议题上的核心倡议力量。

　　中国燃气作为国内能源行业的领军者，早在2021年6月就率先加入了OGMP，成为中国首家迈入这一国际组织的油气企业，目前也是国内唯一保持黄金会员标准的企业。自加入以来，中国燃气始终将甲烷控排作为企业发展的重要使命，全力推动油气行业甲烷排放核算方法、标准与报告规则的建立与完善，郑重承诺并切实执行中国燃气甲烷控排目标，有条不紊开展各类燃气设备设施实测工作。目前，中国燃气已在甲烷排放因子测量和数据处理领域打造出一支专业的甲烷减排工程师队伍，深度赋能甲烷减排相关的测量、数据分析和管理工作，为未来甲烷碳交易的技术保障先行探路。"
燃气,https://finance.eastmoney.com/a/202412313284276448.html,贵州燃气：2024年12月31日召开董事会会议,"贵州燃气（SH 600903，收盘价：7.8元）12月31日晚间发布公告称，公司第三届第二十三次董事会会议于2024年12月31日以通讯方式召开。审议了《关于<2024年度内部董事及高级管理人员绩效考核方案>的议案》等。

　　2024年1至6月份，贵州燃气的营业收入构成为：天然气销售占比97.65%，其他业务收入占比2.09%，综合能源供应及服务占比0.25%。

　　贵州燃气的董事长是程跃东，男，57岁，学历背景为硕士；总经理是王若宇，男，40岁，学历背景为硕士。

　　截至发稿，贵州燃气市值为90亿元。"
燃气,https://finance.eastmoney.com/a/202412313284269076.html,成都燃气：2024年12月31日召开董事会会议,"成都燃气（SH 603053，收盘价：10.03元）12月31日晚间发布公告称，公司第三届第十次董事会会议于2024年12月31日采用通讯方式召开。审议了《关于聘任公司副总经理的议案》等。

　　成都燃气的董事长是王柄皓，男，45岁，学历背景为硕士；总经理是王礼全，男，57岁，学历背景为硕士。

　　截至发稿，成都燃气市值为89亿元。"
燃气,https://finance.eastmoney.com/a/202412303282031210.html,国金证券：随着中国燃气轮机的国产化持续推进，燃气轮机产业链头部公司有望充分受益,每经AI快讯，国金证券表示，受益全球AI数据中心迅速扩张，燃气轮机行业需求提升，2023年以来国内外主要燃气轮机整机或零部件厂商订单/收入高速增长。此外，全球燃气轮机主要为三菱重工、西门子、GE等海外龙头垄断，中国燃机企业份额提升空间较大，中国过去十余年以来燃气发电量占总发电量的比例稳步提升，未来随着中国燃气轮机的国产化持续推进，燃气轮机产业链头部公司有望充分受益。
燃气,https://finance.eastmoney.com/a/202412313284093683.html,成都燃气副总经理人事变动 曾涛等三人上任,"成都燃气（603053）发布关于变更公司副总经理的公告。公告中提到，青倩、陈季和罗庆因工作调整，已提交辞职报告，辞去职工代表董事及副总经理职务。辞职后，他们将不再担任公司任何职务，辞职报告自送达董事会之日起生效。

　　同时，董事会于2024年12月31日审议通过了聘任曾涛、刘军和郭诚为新副总经理的议案，任期至第三届董事会任期届满。这三位新任副总经理均具备相关专业知识和管理能力，符合相关法律法规的任职资格。

　　2024年前三季度，成都燃气实现收入38.07亿元，归母净利润4.20亿元。"
燃气,https://finance.eastmoney.com/a/202412313284260625.html,注意！成都燃气将于2025年1月16日召开股东大会,"成都燃气（SH 603053，收盘价：10.03元）12月31日发布公告称，2025年1月16日14点00分，公司将在成都市武侯区少陵路19号成都燃气股份有限公司总部大楼2楼207会议室召开2025年第一次临时股东大会。本次股东大会将审议《关于补选公司第三届董事会非独立董事的议案》，2025年1月9日收市后登记在册的股东可现场参会投票，或通过交易所投票系统行使表决权。

　　2024年1至6月份，成都燃气的营业收入构成为：燃气销售占比90.53%，入户安装占比6.24%，其他占比3.24%。

　　成都燃气的董事长是王柄皓，男，45岁，学历背景为硕士；总经理是王礼全，男，57岁，学历背景为硕士。

　　截至发稿，成都燃气市值为89亿元。"
燃气,https://finance.eastmoney.com/a/202412303282033923.html,南财研选快讯丨国金证券：未来随着中国燃气轮机的国产化持续推进，燃气轮机产业链头部公司有望充分受益,南方财经12月30日电，国金证券表示，受益全球AI数据中心迅速扩张，燃气轮机行业需求提升，2023年以来国内外主要燃气轮机整机或零部件厂商订单/收入高速增长。此外，全球燃气轮机主要为三菱重工、西门子、GE等公司垄断，中国燃机企业份额提升空间较大，中国过去十余年以来燃气发电量占总发电量的比例稳步提升，未来随着中国燃气轮机的国产化持续推进，燃气轮机产业链头部公司有望充分受益。
燃气,https://finance.eastmoney.com/a/202412293281936469.html,中国巨石终止3.51亿元燃气站项目,"财中社12月29日电中国巨石（600176）发布关于终止巨石集团有限公司桐乡生产基地燃气站及配套管线项目的公告。公司决定终止该项目的建设，原因在于整体投资规划的调整。该项目的总投资为3.51亿元，虽然已获得审批同意，但尚未进行实质性建设。

　　公司在2022年曾计划实施该项目，以满足桐乡基地及未来新生产基地的燃气使用需求，提升作业的稳定性和连续性。然而，随着资源要素保障能力等因素的变化，公司决定在江苏省淮安市涟水县投资建设零碳智能制造基地，并将未来的产能规划布局在其他地区。终止该项目的决策综合考虑了宏观环境和投资规划，对公司及股东利益不会造成重大影响。

　　2024年前三季度，中国巨石实现收入116.32亿元，归母净利润15.33亿元。"
